,userid,version,sum_gamerounds,retention_1,retention_7,number
0,116,gate_30,3.0,False,False,0
1,337,gate_30,38.0,True,False,1
6,1066,gate_30,0.0,False,False,6
11,2101,gate_30,0.0,False,False,11
13,2179,gate_30,39.0,True,False,13
14,2218,gate_30,305.0,True,True,14
15,2382,gate_30,73.0,True,False,15
16,2392,gate_30,14.0,True,False,16
17,2451,gate_30,204.0,True,True,17
18,2482,gate_30,108.0,True,True,18
21,2534,gate_30,5.0,True,False,21
23,2729,gate_30,105.0,False,True,23
24,2829,gate_30,4.0,False,False,24
25,2963,gate_30,3.0,False,False,25
26,3095,gate_30,0.0,False,False,26
29,3199,gate_30,5.0,False,False,29
31,3413,gate_30,37.0,True,False,31
32,3690,gate_30,13.0,True,False,32
33,3696,gate_30,50.0,False,False,33
36,4162,gate_30,23.0,False,False,36
37,4176,gate_30,0.0,False,False,37
38,4283,gate_30,103.0,False,False,38
39,4594,gate_30,27.0,False,False,39
41,4881,gate_30,0.0,False,False,41
44,4918,gate_30,7.0,False,False,44
45,4929,gate_30,386.0,True,True,45
47,5066,gate_30,1.0,False,False,47
48,5215,gate_30,13.0,True,False,48
49,5286,gate_30,12.0,True,False,49
51,5479,gate_30,25.0,True,False,51
52,5550,gate_30,29.0,True,False,52
53,5661,gate_30,136.0,True,False,53
54,5712,gate_30,105.0,True,True,54
58,6123,gate_30,0.0,False,False,58
59,6151,gate_30,94.0,True,True,59
61,6492,gate_30,0.0,False,False,61
66,6924,gate_30,21.0,False,False,66
69,7253,gate_30,45.0,True,False,69
72,7527,gate_30,80.0,False,False,72
73,7564,gate_30,21.0,False,False,73
75,7767,gate_30,139.0,True,True,75
76,7866,gate_30,14.0,False,False,76
77,8063,gate_30,50.0,True,False,77
80,8288,gate_30,9.0,False,False,80
82,8379,gate_30,0.0,False,False,82
83,8464,gate_30,10.0,False,False,83
85,8494,gate_30,5.0,True,False,85
86,8644,gate_30,2.0,False,False,86
87,8679,gate_30,0.0,False,False,87
88,8692,gate_30,3.0,True,False,88
90,8788,gate_30,19.0,False,True,90
96,9589,gate_30,8.0,False,False,96
101,10112,gate_30,6.0,False,False,101
103,10218,gate_30,22.0,True,False,103
105,10336,gate_30,11.0,False,False,105
109,10636,gate_30,246.0,True,True,109
112,10756,gate_30,16.0,False,False,112
115,11127,gate_30,66.0,True,True,115
116,11297,gate_30,0.0,False,False,116
117,11411,gate_30,122.0,True,True,117
118,11420,gate_30,75.0,True,False,118
119,11599,gate_30,3.0,False,False,119
121,11747,gate_30,1.0,True,False,121
122,11840,gate_30,24.0,False,False,122
123,11886,gate_30,3.0,False,False,123
124,12053,gate_30,11.0,True,False,124
126,12163,gate_30,47.0,True,False,126
129,12523,gate_30,31.0,True,False,129
130,12558,gate_30,13.0,False,False,130
131,12574,gate_30,22.0,True,False,131
132,12749,gate_30,6.0,True,False,132
135,12967,gate_30,24.0,True,False,135
136,12979,gate_30,6.0,False,False,136
138,13216,gate_30,24.0,True,False,138
143,13429,gate_30,60.0,False,True,143
145,13633,gate_30,67.0,False,False,145
146,13664,gate_30,42.0,True,True,146
148,13758,gate_30,1.0,False,False,148
149,13806,gate_30,4.0,False,False,149
150,13856,gate_30,3.0,False,False,150
151,13872,gate_30,1.0,False,False,151
154,14143,gate_30,13.0,False,False,154
155,14218,gate_30,129.0,False,True,155
157,14296,gate_30,37.0,False,False,157
159,14592,gate_30,1.0,False,False,159
161,14834,gate_30,27.0,False,False,161
163,15173,gate_30,8.0,False,False,163
164,15294,gate_30,51.0,True,True,164
165,15489,gate_30,5.0,False,False,165
167,15962,gate_30,0.0,False,False,167
171,16180,gate_30,5.0,False,False,171
175,16506,gate_30,4.0,True,False,175
179,17167,gate_30,21.0,False,False,179
180,17270,gate_30,49.0,True,False,180
182,17461,gate_30,1.0,False,False,182
183,17477,gate_30,46.0,True,True,183
185,17554,gate_30,1.0,False,False,185
186,17814,gate_30,14.0,False,False,186
188,17947,gate_30,104.0,True,True,188
189,17995,gate_30,6.0,False,False,189
192,18235,gate_30,8.0,False,False,192
194,18731,gate_30,1.0,False,False,194
195,18756,gate_30,38.0,True,True,195
196,18778,gate_30,13.0,False,False,196
197,18827,gate_30,20.0,True,False,197
200,19077,gate_30,11.0,False,False,200
203,19490,gate_30,72.0,True,False,203
